"Total children age 6-23 months receiving an adequate diet16, 17  (%)",Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are severely wasted (weight-for-height)19 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),Children Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (Children under age 5 years) (%) ,Prevalence of diarrhoea in the 2 weeks preceding the survey (Children under age 5 years) (%) 
14.1,31.3,16.1,22.5,22.5,6.5,39.4,1.4,1.4
25.1,21.3,14.1,18.9,18.9,4.4,32.1,1.2,2.3
26.1,29.4,18.2,21.4,21.4,3.3,47.2,0.6,5.5
23.7,29.7,21.7,27.7,27.7,1.1,51.9,1.9,2.7
14.3,22.0,9.6,17.3,17.3,6.1,48.7,2.3,8.2
11.3,22.0,17.1,19.4,19.4,5.4,36.4,2.4,1.8
36.5,24.3,14.5,23.6,23.6,2.3,32.0,5.3,3.3
19.0,23.4,8.4,17.3,17.3,3.2,36.8,1.2,10.2
17.9,20.1,14.4,20.4,20.4,4.5,30.3,2.8,4.5
50.1,22.7,11.4,11.2,11.2,5.0,44.2,3.5,4.7
17.3,15.5,21.4,17.0,17.0,9.4,32.5,5.4,5.5
32.3,19.5,17.4,15.2,15.2,2.8,33.0,4.9,6.4
29.2,24.3,17.2,19.0,19.0,12.7,95.5,7.8,10.9
18.5,36.5,17.7,21.8,21.8,14.0,87.9,2.8,6.2
19.0,32.0,17.4,25.8,25.8,10.5,43.1,1.4,2.3
4.4,45.8,16.2,37.7,37.7,1.2,71.6,0.2,3.7
8.2,40.0,10.1,29.6,29.6,2.4,74.7,1.4,6.7
13.6,32.2,12.4,29.0,29.0,1.2,75.6,0.2,7.0
11.6,40.1,12.4,33.0,33.0,0.7,78.4,0.6,6.9
2.8,36.8,16.4,29.4,29.4,2.8,72.8,0.4,5.7
7.2,39.2,18.4,36.1,36.1,0.0,70.5,0.6,6.8
8.8,27.5,19.7,34.9,34.9,0.0,67.5,0.8,4.4
6.8,45.1,17.5,34.6,34.6,1.4,87.2,4.9,6.2
9.4,45.1,23.2,39.2,39.2,2.4,74.5,2.1,7.8
8.5,42.7,15.2,35.8,35.8,2.3,83.3,7.3,11.2
12.7,40.3,16.2,32.3,32.3,2.4,76.3,4.1,10.5
7.0,49.4,16.8,31.2,31.2,2.3,81.8,5.2,4.0
10.1,37.0,18.7,31.5,31.5,2.9,78.0,2.8,12.0
9.8,45.3,15.5,36.6,36.6,2.7,71.5,3.2,4.4
3.3,33.0,13.1,27.7,27.7,2.5,77.2,0.9,4.8
1.2,30.9,13.1,22.9,22.9,1.2,65.4,1.4,2.9
16.7,29.0,16.2,28.6,28.6,1.2,74.0,3.3,9.3
11.2,34.7,29.8,36.2,36.2,2.8,81.6,7.7,7.4
13.1,36.8,20.4,30.7,30.7,4.5,79.4,4.7,8.5
4.6,28.8,29.5,35.9,35.9,5.2,65.0,2.9,5.5
9.8,28.7,21.2,24.9,24.9,2.2,78.8,3.9,5.2
6.6,31.4,27.4,44.0,44.0,4.9,71.5,0.9,5.4
11.1,45.8,18.9,41.0,41.0,3.6,78.2,1.7,4.0
5.2,27.6,22.4,26.8,26.8,4.1,77.5,2.5,9.2
3.9,36.5,16.6,34.4,34.4,0.3,52.3,1.1,8.4
14.4,19.9,20.6,29.1,29.1,1.8,68.5,0.6,2.3
5.5,21.9,20.3,27.6,27.6,3.0,82.4,2.8,8.9
19.0,30.4,21.1,25.4,25.4,0.0,61.1,1.3,7.1
9.9,30.8,21.7,31.4,31.4,0.0,57.8,0.3,5.3
9.9,38.8,28.0,34.7,34.7,5.3,85.6,9.2,6.4
11.2,34.8,19.5,27.2,27.2,2.8,78.8,7.3,9.2
8.2,49.5,21.8,44.0,44.0,1.7,78.7,4.3,9.1
,18.0,26.4,31.3,31.3,0.0,37.8,0.0,8.0
18.1,32.0,19.6,28.1,28.1,1.0,73.4,2.4,4.0
12.9,38.9,15.8,33.6,33.6,1.9,78.1,4.8,6.9
7.3,32.1,15.9,33.0,33.0,2.0,70.2,3.5,9.2
5.8,23.9,18.1,32.8,32.8,0.3,50.5,0.9,4.0
12.1,23.5,21.1,31.1,31.1,0.0,71.8,1.6,6.7
